lat,lon,alt
129.72917,1014.56696,88.20
129.72917,1014.56698,98.70
129.72913,1014.56699,107.90
129.72907,1014.56701,117.00
129.72905,1014.56699,126.40
129.72903,1014.56700,137.20
129.72902,1014.56700,149.50
129.72903,1014.56698,161.80
129.72902,1014.56700,173.00
129.72900,1014.56700,184.50
129.72900,1014.56700,194.90
129.72898,1014.56702,204.20
129.72898,1014.56704,213.00
129.72897,1014.56704,220.90
129.72893,1014.56705,225.60
129.72891,1014.56709,229.50
129.72890,1014.56710,232.40
129.72890,1014.56709,236.20
129.72890,1014.56710,246.00
129.72890,1014.56712,258.10
129.72893,1014.56710,272.20
129.72895,1014.56711,288.79
129.72897,1014.56711,307.79
129.72899,1014.56711,331.90
129.72900,1014.56711,357.10
129.72900,1014.56709,382.10
129.72900,1014.56709,407.20
129.72897,1014.56711,432.50
129.72900,1014.56712,457.10
129.72899,1014.56711,482.20
129.72897,1014.56710,507.60
129.72901,1014.56709,529.59
129.72903,1014.56707,536.59
129.72907,1014.56708,537.40
129.72909,1014.56711,560.59
129.72912,1014.56707,585.80
129.72912,1014.56708,610.80
129.72910,1014.56708,636.09
129.72911,1014.56708,661.10
129.72911,1014.56708,686.30
129.72913,1014.56706,717.10
129.72912,1014.56706,742.30
129.72913,1014.56706,762.90
129.72914,1014.56703,764.30
129.72915,1014.56703,764.20
129.72914,1014.56703,764.40
129.72916,1014.56701,764.50
129.72917,1014.56701,764.30
129.72917,1014.56703,763.90
129.72917,1014.56703,763.60
129.72918,1014.56701,763.20
129.72921,1014.56701,762.60
129.72923,1014.56701,762.70
129.72926,1014.56697,762.70
129.72927,1014.56696,762.60
129.72925,1014.56697,762.70
129.72924,1014.56698,763.00
129.72923,1014.56697,763.10
129.72922,1014.56696,763.20
129.72931,1014.56694,763.00
129.72922,1014.56695,763.20
129.72814,1014.56506,751.30
129.72750,1014.56162,732.40
129.72666,1014.55729,715.50
129.72571,1014.55413,699.00
129.72522,1014.55086,682.10
129.72378,1014.54663,665.80
129.72249,1014.54379,650.20
129.72146,1014.54093,633.80
129.72054,1014.53795,616.59
129.71958,1014.53493,598.30
129.71845,1014.53332,583.90
129.71666,1014.52999,568.40
129.71508,1014.52873,552.80
129.71336,1014.52781,536.40
129.71219,1014.52514,520.80
129.71002,1014.52347,505.50
129.70935,1014.52082,489.70
129.70739,1014.51781,474.20
129.70634,1014.51646,457.20
129.70413,1014.51403,441.30
129.70310,1014.51270,424.10
129.70064,1014.51111,408.50
129.69980,1014.50968,393.60
129.69810,1014.50790,376.00
129.69601,1014.50822,355.80
129.69507,1014.50685,335.70
129.69269,1014.50633,315.29
129.69257,1014.50582,297.40
129.69070,1014.50487,280.60
129.69064,1014.50467,264.90
129.68890,1014.50399,252.50
129.68886,1014.50408,239.90
129.68735,1014.50405,223.00
129.68715,1014.50365,208.30
129.68509,1014.50279,194.30
129.68435,1014.50306,185.30
129.68376,1014.50397,176.60
129.68351,1014.50439,168.20
129.68195,1014.50380,158.89
129.68110,1014.50470,148.00
129.68033,1014.50461,127.30
129.67984,1014.50299,110.50
129.67752,1014.50175,96.00
129.67491,1014.50165,75.00
129.67391,1014.50089,61.00
129.67363,1014.50069,50.30
129.67332,1014.50094,38.20
129.67329,1014.50111,32.59
129.67334,1014.50116,36.59
129.67336,1014.50112,38.09
129.67326,1014.50131,38.30
129.67354,1014.50110,49.40
129.67337,1014.50111,52.60
129.67359,1014.50129,65.80
129.67388,1014.50126,78.90
129.67394,1014.50138,86.50
129.67431,1014.50129,92.20
129.67439,1014.50157,98.50
129.67471,1014.50138,98.00
129.67459,1014.50117,96.50
129.67455,1014.50122,97.30
129.67463,1014.50130,97.00
129.67475,1014.50139,100.30
129.67514,1014.50158,101.90
129.67517,1014.50145,103.40
129.67517,1014.50145,103.40
129.67517,1014.50145,103.40
129.67517,1014.50145,103.40
129.67517,1014.50145,103.40
129.67517,1014.50145,103.40
129.67517,1014.50145,103.40
129.67517,1014.50145,103.40
129.67517,1014.50145,103.40
129.67517,1014.50145,103.40
